Algo,Duration,Cross-validated R²,Test R²,Test RMSE
Grid,23.57747721672058,0.9494,0.9494,26.8628
Random,93.88673329353333,0.9498,0.9498,26.6465
Bayes,175.0883913040161,0.9494,0.9494,26.8628
Simulated Anealing,1190.5921006202698,0.9431,0.9429,30.2914
Partical Swarm Optimization,42.61820983886719,0.9495,0.9486,27.2911
Hill Climbing,172.63410425186157,0.9432,0.9412,31.1831
Genetic Algorithms,1125.5004143714905,0.9503,0.9496,26.7374
Artificial Bee Colony,1899.897822380066,0.9527,0.9495,26.7811
Optuna,687.9462327957153,0.9502,0.9498,26.6378
