Algo,Duration,Cross-validated R²,Test R²,Test RMSE
Grid,17.57,0.9509,0.9497,26.6998
Random,93.46,0.9508,0.9497,26.7014
Bayes,206.01,0.9509,0.9497,26.6998
PSO,318.39,0.9505,0.9497,26.6967
Hill,464.99,0.944,0.9422,30.6704
GA,1312.07,0.9509,0.9497,26.6859
ABC,5665.02,0.9595,0.9497,26.6859
OPTUNA,141.36,0.9506,0.9497,26.6986
SA,3597.11,0.9435,0.9422,30.6544
GOTOVO
