Algo,Duration,Cross-validated R²,Test R²,Test RMSE
Grid,6.759583473205566,0.9602,0.9597,21.3941
Random,86.6743495464325,0.9604,0.9602,21.0923
Bayes,157.6554822921753,0.9603,0.9598,21.3455
Artificial Bee Colony,2397.5836822986603,0.9629,0.9598,21.3402
Optuna,554.4167575836182,0.9608,0.9603,21.0422
Partical Swarm Optimization,50.30277991294861,0.9607,0.9591,21.6779
Hill Climbing,151.2149338722229,0.9497,0.9484,27.3707
Genetic Algorithms,1281.883737564087,0.9609,0.9605,20.9399
Simulated Anealing,1976.8492858409882,0.9495,0.9461,28.6007
