Algo,Duration,Cross-validated R²,Test R²,Test RMSE
Grid,25.98,0.9677,0.9658,18.1251
Random2,146.64,0.9676,0.9658,18.1218
Bayes3,269.29,0.9677,0.9658,18.1251
Partical Swarm Optimization,596.53,0.9674,0.9658,18.1218
Hill Climbing,757.69,0.9557,0.9529,24.98
Genetic Algorithms,2042.45,0.9677,0.9658,18.1251
Artificial Bee Colony,9420.29,0.9744,0.9658,18.1251
Simulated Anealing,6077.53,0.9545,0.9529,25.0051
Optuna,867.6,0.9673,0.9658,18.1406
#GOTOVO
