Algo,Duration,Cross-validated R²,Test R²,Test RMSE
Random,502.31,1.0,1.0,0.0059
Partical Swarm Optimization,911.35,0.9999,1.0,0.0104
Artificial Bee Colony,3411.09,1.0,0.9994,0.2949
Bayes,610.26,0.077,0.9998,0.0853
Hill Climbing,3543.07,0.9628,1.0,0.0157
Grid,143.92,1.0,1.0,0.0016
Genetic Algorithms,6755.86,1.0,1.0,0.0011
Optuna,1911.02,1.0,1.0,0.0097
