Algo,Duration,Cross-validated R²,Test R²,Test RMSE
Grid,79.43,0.9967,0.9967,1.7259
Random,298.04,0.9979,0.9982,0.9495
Bayes,462.65,0.9977,0.9981,1.0015
PSO,356.53,0.9978,0.9982,0.9377
Hill_Climbing5,209.63,0.9963,0.9968,1.699
GA,1483.29,0.9971,0.9976,1.2484
SA,2359.03,0.9971,0.9974,1.3761
OPTUNA,129.84,0.9979,0.9983,0.9047
ABC,193.29,0.9974,0.9979,1.0883
