Algo,Duration,Cross-validated R²,Test R²,Test RMSE
Grid,1.877058982849121,0.7656,0.8353,95.2926
Random,0.23752975463867188,0.6065,0.7355,153.0314
Bayes,0.10596752166748047,0.5237,0.706,170.0498
Simulated Anealing,5.176156520843506,0.7728,0.8354,95.2253
Hill Climbing,0.5768036842346191,0.7658,0.8348,95.575
Genetic Algorithms,6.839227676391602,0.8255,0.8702,75.068
Artificial Bee Colony,3.5872302055358887,0.9087,0.8356,95.1167
