Algo,Duration,Cross-validated R²,Test R²,Test RMSE
Grid,81.94,0.9961,0.9964,1.9008
Random,93.07,0.9962,0.997,1.6064
Bayes,105.75,0.9961,0.9965,1.8515
PSO,80.68,0.997,0.9975,1.3329
Hill,210.77,0.9964,0.9968,1.6849
GA,1284.91,0.9972,0.9976,1.2958
SA,2752.56,0.9971,0.9975,1.3412
OPTUNA,215.65,0.998,0.9983,0.9251
ABC,170.27,0.9977,0.9981,1.0014
